time_slot,agent,p,pb_dn,pb_up,pr_dn,pr_up,s_dn,s_up,spot_price
105,79,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,80,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,81,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,82,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,83,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,84,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,85,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,86,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,87,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,88,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,89,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,90,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,91,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,92,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,94,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,95,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,96,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,98,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,101,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,102,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,103,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,104,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,105,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,106,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,108,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,109,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,110,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,111,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,112,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,113,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,114,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,115,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,118,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,119,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,120,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,122,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,123,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,124,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,125,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,126,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,127,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,128,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,129,2.7344773,4.4655227,7.2,4.4655227,7.2,0.0,0.0,602.650024
105,130,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,131,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,133,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,134,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,135,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,136,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,137,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,139,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,140,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,142,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,143,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,144,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,145,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,146,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,147,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,148,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,150,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,151,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,154,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,155,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,156,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,158,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,160,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,161,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,162,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,163,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,164,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,166,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,167,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
106,0,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,1,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,2,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,3,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,4,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,5,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,6,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,7,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,8,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,9,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,10,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,11,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,12,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,13,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,14,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,15,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,16,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,17,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,18,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,19,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,20,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,21,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,22,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,23,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,24,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,25,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,26,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,27,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,28,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,29,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,30,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,31,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,32,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,33,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,34,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,35,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,36,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,37,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,38,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,39,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,40,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,41,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,42,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,43,0.70404379,6.4959562,7.2,6.4959562,7.2,0.0,0.0,537.090027
106,44,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,45,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,46,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,47,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,48,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,49,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,50,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,51,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,52,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,53,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,54,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,55,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,56,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,57,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,58,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,59,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,60,4.3020585,2.8979415,7.2,2.8979415,7.2,0.0,0.0,537.090027
106,61,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,62,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,63,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,64,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,65,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,66,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,67,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,68,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,69,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,70,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,71,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,72,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,73,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,74,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,75,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,76,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,77,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,78,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,79,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,80,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,81,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,82,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,83,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,84,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,85,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,86,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,87,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,88,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,89,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,90,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,91,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,92,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,93,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,94,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,95,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,96,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,97,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,98,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,99,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,100,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,101,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,102,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,103,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,104,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,105,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
